,label,text
69,0,This is why Andrew Garfield is my bf and the way so many ppl shitted on all of his Spiderman movies and now trying… https://t.co/vrQWNqGyeD
70,0,"RT @gustianhe: khonsu when he promised to part ways with marc and steven but not with Lockley

#MoonKnight https://t.co/DKz8qh607q"
71,0,URGENT 🚨🚨🚨 PLEASE SHARE 👇👇👇 #nyc @KeithOlbermann @jonstewart #RobloxDown #AmberHeard #wordle #MayThe4thBeWithYou… https://t.co/yo6eFm5xpU
72,0,"RT @gustianhe: khonsu when he promised to part ways with marc and steven but not with Lockley

#MoonKnight https://t.co/DKz8qh607q"
73,0,"RT @ivmcvssper: i didn't see ""Moon Knight will return"" in the credits #MoonKnight https://t.co/gMlYSK1VzH"
74,0,"RT @ImmaCallYouBack: Will Smith just lost a bunch of roles from slappin Chris Rock one time.

This woman abused Johnny Depp for years, cut…"
75,0,"RT @RottenTomatoes: #MoonKnight is #CertifiedFresh at 88% on the #Tomatometer, with 198 reviews: https://t.co/mr99JWwR8b https://t.co/isVX4…"
76,0,"RT @BingeWatchThis_: Which finale did you enjoy more? 

Re-Tweet for #MoonKnight, Like for #Hawkeye. https://t.co/IX0GvndDl4"
77,1,"RT @VicGt88: #MoonKnight finale spoilers
.
.
.

Humans of the MCU seeing a giant crocodile beat the shit out of a giant chicken skeleton ht…"
78,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
79,0,RT @LStrikesArt: #MoonKnight I have so many feelings 😭💕 https://t.co/0oEGfVQYTl
80,1,[Spoiler] HometownTCG is opening a case of History Pack 1. via /r/FleshandBloodTCG https://t.co/NhZODty2kR #FABTCG #FleshandBloodTCG
81,0,"RT @EW: Da'Vine Joy Randolph and Daniel Radcliffe share info about their #TheLostCity characters, including what they drew from to play the…"
82,1,"RT @VicGt88: #MoonKnight finale spoilers
.
.
.

Humans of the MCU seeing a giant crocodile beat the shit out of a giant chicken skeleton ht…"
83,0,"WandaVision
Loki
What If?
Moon Knight
Hawkeye
FATWS"
84,0,"#MoonKnight is fantastic! All 6 eps are gorgeous. Egyptian mythology, Oscar Isaac❤️, action, beautiful cinematograp… https://t.co/rEHk7OtFbj"
85,1,RT @thegoonk1ng: Episode 6 spoilers no context #moonknight https://t.co/jAdQt34RvB
86,0,"RT @harikumarselva: I wanted Wendy to die, Marty to go to prison, and Ruth to finally catch a break. Was that too much to ask for? #Ozark #…"
87,0,RT @Gerrard098: It gives me goosebumps that ppl are now giving Elizabeth Olsen the Respect she deserves 👏 and how Scarlet Witch has been a…
88,0,@Shyway @Halo @HaloTicket2 @joestaten please hear your community. Do the changes that need to be done because right… https://t.co/M7FM76Cd7S
89,0,RT @Hamlet_Machine: Whoever cast RP as Batman is a genius bc his slutty sub chaotic energy is really stealing the show
90,0,RT @mccnkniqht: something so poetic about a palestinian actress eating up a zionist
91,1,"RT @RWerteb: #MoonKnight finale spoilers 
.
.
.
.
Khonshu be like: Marc wasn’t violent enough, let me introduce you to Jake Lockley https:/…"
92,0,"RT @lortomo1: One Cartoon has to go, Adventure Time, Avatar: The Last Airbender, Spongebob, or Gravity Falls https://t.co/l3vdVYqGWh"
93,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
94,0,"Your wish is my command.

""The Batman"" is the best Bat movie because it did what none of the others did effectively… https://t.co/06x63jya2C"
95,0,"RT @Ryan_WXH: [GIVEAWAY] OPI Glitter Coating for Halo Infinite

- RT to enter
- Reply with your favourite thing about Season 2: Lone Wolves…"
96,0,"Also, this movie better portrayed a younger Batman...one that makes mistakes the older Batman would never make.

It… https://t.co/rru7FncF7N"
97,1,"I think I just saw a spoiler for #MultiverseOfMadness … &amp; bitch, WHAT?! I — https://t.co/zLKkeGjIHO"
98,1,"RT @ShweezyLiz: ((ORV NOVEL SPOILER))
.
.
.
.
.
Will still di3 on this hill that sp used kkomas specifically bc they’d make for very adorab…"
99,0,RT @saescentric: this is actually insane cause I never seen this type of energy for horrible abusive men
100,0,RT @HausofHilton: Please watch Wandavision before watching Dr Strange
101,0,"RT @JJoshiiiiiiiiii: Jake is here!!!!!!
#MoonKnight https://t.co/K2ecu24ylX"
102,0,@iihatecam halo 3 was my fav for so long 😭😭
103,0,RT @hiddlouistan: She can step on me or marry me or do both #LaylaElFaouly #MoonKnight https://t.co/EA1KtHuipw
104,0,Kaley Cuoco and ‘Ozark’ actor Tom Pelphrey are dating https://t.co/OEoDDzbbrF
105,0,"LightShot
LightShot
LightShots Fired

Everyone of these zombies that work for this science project kill program at… https://t.co/sqzLghL8J5"
106,0,"RT @TheAnimatedBat: Ra's al Ghul: Well, are you man enough to face your better?

Batman: If you insist.

The Demon's Quest part 2 #BTAS htt…"
107,0,"RT @vylkcrie: #MoonKnight

I don’t have any other way to express my feelings bout the finale https://t.co/HLpCDO9Gqt"
108,0,"RT @petertingIe: khonshu on his way to the met gala😍💅🏻
#MoonKnight https://t.co/NtxPS1MWcP"
109,0,"RT @chibetto64: ""So long, suckers!"" #TheBadGuys #TheBadGuysmovie #MrWolf #DreamWorks #characterdesign https://t.co/f8VtwL57Dj"
110,0,You a loser fr
111,1,"RT @ohgodnocairo: MOON KNIGHT EP 6 SPOILERS #MoonKnight
.
.
.
.
.
.
.
the other gods when they realized Khonshu wasn’t lying about Harrow f…"
112,0,"RT @MohamedDiab678: People who liked #MoonKnight please thank the writing team lead by the great @jerslater. 

 @beau_demayo, @BeckyKirsch,…"
113,0,That Ozark ending tho
114,0,wandavision and daredevil the superior shows
115,0,"RT @bakhwans: Retweet would be really appreciated ♡

Halo! Chu open req layout scenery basic bright, dark, unfiltered. Only 2k/each include…"
116,0,"RT @petertingIe: khonshu on his way to the met gala😍💅🏻
#MoonKnight https://t.co/NtxPS1MWcP"
117,0,"RT @kingosbff: the #MoonKnight system
https://t.co/3dyQ5EQ3xm"
118,0,RT @QualitylifePod1: @Mr_jayhill Nigga gotta be Batman mane: https://t.co/692c6Tkw1C
119,0,"RT @rupasubramanya: To @MelissaLantsman 's excellent questions on travel vaccine mandates:""Which experts is the PM listening to? What is th…"
120,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
121,0,RT @BingeWatchThis_: The #MoonKnight finale blew us away! (Via: @SuperComicVerse) https://t.co/KmBuP5cgUT
122,1,"RT @JohnPatr1: Multiverse of Madness spoilers with no context

#MultiverseOfMadness
#Doctorstrange https://t.co/v2U7Z88ydh"
123,1,RT @MelissaLantsman: Spoiler alert: These are not answers. #cdnpoli #endthemandates https://t.co/9nqfW41vj9
124,0,"09FB11D5 :Battle ID
I need backup!
Lvl 120 Avatar
https://t.co/To4bS9mUEy"
125,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
126,0,"RT @MohamedDiab678: Since my daughter was 4, she wanted to straighten her hair. She never saw someone who looked like her in the media. Tod…"
127,1,"RT @dorksofprey: // #MoonKnight spoilers
.
.
.
THE WAY LAYLA ATE THIS OMFG https://t.co/tXkNg72FO1"
128,0,"RT @Airdrop_Heists: 🔥🔥 A super event for Doctor Strange's fan community around the world will be released THIS MAY.
 
COMING SOON ⏱⏱

#DSTT…"
129,1,"RT @IukesguywaIker: #MoonKnight episode 6 spoilers
.
.
.
i believe in jake lockley supremacy https://t.co/L0iUb3JV9i"
130,0,"6A4DACC5 :Battle ID
I need backup!
Lvl 120 Avatar
https://t.co/nMNz14LMAU"
131,1,RT @belovouz: #MoonKnight // spoilers https://t.co/sPBtRwlKDx
132,0,RT @JigawattJack: Is this the strange doctor everyone seems excited about? #DoctorStrange #DrRobotnik #Robotnik #Sonic #SonicTheHedgehog #S…
133,0,"RT @smagloosh: I like to think that after the Covenant fell apart, there were attempts to improve Human and Alien relations via more...inti…"
134,0,"Ozark is the best tv show I have ever seen, I’m truly fucking mind blown."
135,0,RT @mccnkniqht: something so poetic about a palestinian actress eating up a zionist
136,0,"I'm all down for Zack Snyder's Justice League sequel.

At the same time, I also want Matt Reeves Batman to continue… https://t.co/R5apya2vbW"
137,0,@MOHAMMEDFI10 @Twitch both are really fun! Republic Commando is like Star Wars Halo and Battlefront 2 on ps2 is jus… https://t.co/CA3X5YFlpF
138,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
139,0,RT @WonkyDrive: I calculated how far GimR's animated avatar has walked. The average stride for a 5'10 male is 29 inches. I calculated /w me…
140,0,Peggy from King of the Hill for me. Like  why is she so full of herself? It’s not even in a funny or comedic way it… https://t.co/LKvHi46g6J
141,0,RT @saescentric: this is actually insane cause I never seen this type of energy for horrible abusive men
142,0,@MCUPerfectGifs FATWS &gt; Hawkeye &gt; Moon Knight &gt; WandaVision &gt; What If? &gt; Loki
143,1,"RT @chaeunchel: then when JJ came back,they asked what spoiler he gave and rocky said he told arohas that there's gonna be a solo song/song…"
144,0,"RT @BingeWatchThis_: Which finale did you enjoy more? 

Re-Tweet for #MoonKnight, Like for #Hawkeye. https://t.co/IX0GvndDl4"
145,0,"1. Loki
2. WandaVision 
3. What If…?
4. MoonKnight
5. Falcon&amp;WinterSoldier
6. Hawkeye"
146,0,"RT @MaxSpite: #nsfw Make him say something...
#lizard #spiderman #marvel https://t.co/38tHEifqst"
147,0,@MCUPerfectGifs 1. Loki 2. Hawkeye 3. FatWS 4. Moon Knight (currently behind on) 5. WandaVision 6. What If…?
148,0,RT @nacaomarveI: THE BEST. #MoonKnight https://t.co/uYunisN8vw
149,0,RT @mknighthinker: 2nd season will be like #MoonKnight https://t.co/4nBSQinvGr
150,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
151,0,"RT @Francis32748807: #MoonKnight
WE HAVE TWO FISHES I REPEAT TWO FISHES https://t.co/CVDAMoYADe"
152,0,"Pam Beesly, Emma Nelson, &amp; that bitch Skylar White"
153,0,"RT @eggboyspeaks: #MoonKnight 
•
•
•
ladies and gentlemen, #JakeLockley https://t.co/qD5JXPyFvn"
154,1,"RT @buckyssteven: #MoonKnight SPOILERS
-
-
all of Twitter right now https://t.co/l95HHRnPis"
155,0,"If Obi-wan Kenobi considered Anakin Skywalker his ""brother,"" that would make him Luke Skywalker's uncle. So that wo… https://t.co/2m4TpWREG6"
156,0,"RT @houseofphoton: #MoonKnight  SHE’S THE MOMENT, LAYLA AS THE AVATAR OF TAWERET https://t.co/XNRimsJaSu"
157,0,"RT @aaundolaew: HIPPO!!

#moonknightfanart #MoonKnight https://t.co/680KfMxQZf"
158,0,RT @oscarsarchive: “hippo” is my new comfort scene #moonknight https://t.co/aGIDXwC5Fd
159,0,"RT @petertingIe: khonshu on his way to the met gala😍💅🏻
#MoonKnight https://t.co/NtxPS1MWcP"
160,0,@peterjordan100 WandaVision
161,0,RT @chrisdadeviant: boom #MoonKnight https://t.co/8ggd181G4A
162,0,Bro MOONKNIGHT WAS TRASH !!!!
163,0,THE BEST
164,1,"RT @JonnoPlaysCoC: Don't miss tonight's epic live stream event! (spoiler alert: you're missing it now!)

My stream is LIVE stop by and say…"
165,0,URGENT 🚨🚨🚨 PLEASE SHARE 👇👇👇 #nyc @KeithOlbermann @jonstewart #RobloxDown #AmberHeard #wordle #MayThe4thBeWithYou… https://t.co/quOy9N8stN
166,1,"#MoonKnight finale (non-spoiler) thoughts: 

1. Someone give Oscar Isaac an award
2. Can Layla have her own limited… https://t.co/k7ON0sbBPF"
167,0,shout out to wandavision and moon knight for being the best marvel shows - and also for giving me my respective rep… https://t.co/CMWh0Xf9V9
168,0,i used to be a harcore spiderman fan but now moon knight is my new bestie
169,0,Avatar easy
170,0,"RT @PapiAceFBC: Who is the one character on a TV that you hate so bad 

Mine is Wendy on ozark"
171,0,"RT @Venus_The_Game: Crypto Girls Live in Venus: Avatar movie-like #NFT Metaverse👩‍🚀✨

🧚First-ever #blockchaingame developed by women
🧚Meani…"
172,0,"No one asked, but here are my #MarvelStudios #DisneyPlus rankings after finishing #MoonKnight.

1. Falcon and the W… https://t.co/MBRb1lgxK0"
173,1,RT @thegoonk1ng: Episode 6 spoilers no context #moonknight https://t.co/jAdQt34RvB
174,0,"@icebrrgh You have that Neapolitan-flavor style with your avatar coloration, looks cute! Love your model, too. &lt;3"
175,0,He’s a broke Batman. Zero superpowers smh.
176,0,RT @ianbarr: Feel like I’ve looked at Denzel Washington’s IMDb hundreds of times yet I’m only learning of this movie now https://t.co/l9kZg…
177,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
178,0,"RT @CanyneKhai: Suit up!
#TheBadGuys  #MrWolf https://t.co/f8DKJUDv2e"
179,0,Same actually
180,1,"RT @vianne_art: Moon Knight Ep 6 Spoilers 
-
-
-
-
-
-
-
-
-
-
OH MY GOD HER DAD CALLED HER HIS “LITTLE SCARAB” AND SHE LITERALLY LOOKS LIK…"
181,1,"RT @RWerteb: #MoonKnight finale spoilers 
.
.
.
.
Khonshu be like: Marc wasn’t violent enough, let me introduce you to Jake Lockley https:/…"
182,0,"A30FF93B :Battle ID
I need backup!
Lvl 120 Avatar
https://t.co/xxRPTetwnp"
183,0,"All I'm saying is @MarvelStudios @moonknight I would let giant God crocodile lady step on me! 
🐊💃 #PraiseAmmit https://t.co/VUBHTZX27F"
184,0,"Kinda love that we get stories featuring these two in the same week.
#SpiderMan 
#Batman https://t.co/shY9A9cY34"
185,0,"that was not me. thank you, i would never say anything bad about the batman i promise https://t.co/LJTtY52dvd"
186,1,@richirayo @lavidaenjuego @VfLWolfsburg_ES @PSG_espanol @ChelseaFC_Sp @ManCityES Spoiler: no lo es
187,0,"RT @vylkcrie: #MoonKnight

I don’t have any other way to express my feelings bout the finale https://t.co/HLpCDO9Gqt"
188,0,I don’t know if this was a homage but man it sure felt like it. #MoonKnight @MohamedDiab678 https://t.co/7l8cXab1Ms
189,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
190,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
191,0,"RT @MaxSpite: Don't mind me, just testing the waters
#lizard #spiderman #marvel https://t.co/6HLSvrer5T"
192,1,"RT @midnitecallum: #moonknight spoiler
.
.
.
.
.
.
Layla: Taweret are you there?
Taweret: LAYLAAaaaaaaaAaaaaAAAAAaaa
Layla: https://t.co/lS…"
193,0,RT @heroichollywood: Retweet if you want SEASON 2! #MoonKnight https://t.co/TKRYq6c9vW
194,0,"RT @rupasubramanya: To @MelissaLantsman 's excellent questions on travel vaccine mandates:""Which experts is the PM listening to? What is th…"
195,1,@kacchansocha She didn’t tell me anything it doesn’t count as an spoiler leave her alone 🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪
196,0,Liked on YouTube: INTO THE SPIRIT WORLD!!! | Minecraft Hardcore [Avatar: Curse of the Fallen - Series] #3… https://t.co/EWCPCTIHII
197,1,RT @iTAELYSIAN: que tal spoiler 🤡
198,1,"RT @darkholdfingers: #MoonKnight EP. 6 SPOILERS
-
-
-
-
when the other gods realized harrow actually released ammit https://t.co/xk13U1kcgA"
199,0,Liked on YouTube: THE SPIRIT WORLD IS DEADLY!!! | Minecraft [Avatar: Curse of the Fallen - Series] #4… https://t.co/nrHt2teyZh
200,0,RT @ornchid: meetings #MoonKnight https://t.co/yvnGfMw2Sg
201,0,RT @walshtarkov: yes wanda did some pretty messed up shit but she looked good going it  #DoctorStrange https://t.co/mj7OF2Xiwm
202,0,"RT @WeaselGear: After some technical difficulties and delays, our newest VR Chat avatar is now available on Gumroad! Check it out here: htt…"
203,0,Ruth spitting facts about Wendy #Ozark
204,0,@kurtbardella Or maybe left is Ozark and all you Wendy Byrdes taking Ben for a ride claiming you care while a Plann… https://t.co/0dJn1CryVR
205,0,We should really bring back bullying
206,0,RT @NewtonLunaire: HIPPO!!! #MoonKnight https://t.co/dSFnyXMK4M
207,0,"this is a ""batman couldn't beat this out of me"" tweet"
208,1,"RT @347584i: Not gonna spoil anything, but make sure you watch THE BATMAN before Doctor Strange in the Multiverse of Madness. https://t.co/…"
209,0,"RT @vylkcrie: #MoonKnight

I don’t have any other way to express my feelings bout the finale https://t.co/HLpCDO9Gqt"
210,0,RT @spectorgf: i feel that we NEED to talk about the whole cast performance in this episode/show #MoonKnight https://t.co/qSMcet9LTC
211,0,"Netflix wonders why it’s losing subscribers?

Probably because Ozark season 5 isn’t happening."
212,1,"RT @darkholdfingers: #MoonKnight EP. 6 SPOILERS
-
-
-
-
when the other gods realized harrow actually released ammit https://t.co/xk13U1kcgA"
213,0,RT @chrissvellx: the ending of #MoonKnight episode 6 be like: https://t.co/gQmR5EDs7w
214,0,They better bring #MoonKnight back for season 2 or we're all giving ourselves to Khonshu
215,1,"RT @therealsupes: #MoonKnight Spoilers
-
-
-
-
I felt like a proud father watching Steven pop off this episode.😭❤️ https://t.co/BkzelZcSFQ"
216,0,"WandaVision
Moon Knight
Hawkeye
The Falcon and the Winter Soldier
What if?
Loki"
217,0,RT @ornchid: meetings #MoonKnight https://t.co/yvnGfMw2Sg
218,0,I’m fr hyper fixating on some ghost that has a crush on a god that collects trash on the streets BUT I MEAN LOOK AT… https://t.co/MSJEDOVU62
219,0,"RT @houseofphoton: #MoonKnight  SHE’S THE MOMENT, LAYLA AS THE AVATAR OF TAWERET https://t.co/XNRimsJaSu"
220,1,"RT @luvtsundoku: #moonknight spoilers 
-
-
Layla in this Moon Knight episode means everything to me i love her. her husband is okay too i g…"
221,0,RT @WrightLeaning: @MexAnarcho @OurHiddenHistry Ukraine avatar takes it to another level. https://t.co/wzBPvmjcKd
222,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
223,0,RT @LuckiiSonoda: Wandavision wasn’t that bad now that I really think about it https://t.co/s2NWHwasdU
224,0,"1. What If
2. WandaVision
3. Moon Knight
the other three are boring af"
225,0,RT @mccnkniqht: something so poetic about a palestinian actress eating up a zionist
226,0,"RT @Venus_The_Game: Crypto Girls Live in Venus: Avatar movie-like #NFT Metaverse👩‍🚀✨

🧚First-ever #blockchaingame developed by women
🧚Meani…"
227,0,"RT @petertingIe: khonshu on his way to the met gala😍💅🏻
#MoonKnight https://t.co/NtxPS1MWcP"
228,0,me pretending not to care about #MoonKnight so season 2 comes faster https://t.co/LWypMOJM88
229,0,"I gotta catch up on force, snowfall and Ozark"
230,0,this looks cool in theory but they’re a boring couple
231,1,@StehDegan Spoiler do que ????
232,0,"RT @UpToTASK: Yea this seems about right. 

Art by Vee the Calamitea

#MoonKnight #MrKnight #LaylaElFaouly https://t.co/inIxxgg40v"
233,0,RT @ornchid: meetings #MoonKnight https://t.co/yvnGfMw2Sg
234,0,RT @Frosted_Chelios: Jake Lockley be like  #MoonKnight https://t.co/lHiZR2sc7s
235,0,RT @mccnkniqht: something so poetic about a palestinian actress eating up a zionist
236,0,"Danny Elfman nailed ""Strange Awakens"" theme btw. So bitter sweet fucking hell. #DoctorStrange"
237,0,"RT @raspberryfondue: No but, that was all i had in my mind the whole scene #MoonKnight 💅🫣🔥 ... https://t.co/3tOp1X4vLM"
238,0,"RT @heonxkyun: i'm 
○ single
○ taken
● in love with this scene from #MoonKnight ep 6 https://t.co/gRKZCcpDmy"
239,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
240,0,"RT @bakhwans: Retweet would be really appreciated ♡

Halo! Chu open req layout scenery basic bright, dark, unfiltered. Only 2k/each include…"
241,0,@moonknight is the most confusing show .. i have no clue what the hell is going on
242,0,RT @mknighthinker: WTF MARC I CANT BREATHE YOU CANT DO THIS TO ME U HAVE NO RIGHTS #MoonKnight https://t.co/OGdA3yifwV
243,0,gonna need a couple days to process that final #MoonKnight episode
244,0,RT @alltoowilson: fixed it. you’re welcome #moonknight https://t.co/EZtDBNkeCp
245,0,The Batman Honest Trailer Pokes Fun At Gen Z Bruce Wayne [EXCLUSIVE] https://t.co/QF9QqrEThZ
246,0,i know something about you just smells stinky
247,0,yeah she dead
248,1,"RT @I_LUVKOOK: TREMENDO SPOILER 

@BTS_twt https://t.co/sCOmEAuPyO"
